date,ticker,price,avg_daily_volume,ret_1m,fwd_ret_1m,mom_3m,vol_60d
2023-03-31,VIC,55.0,156913608.6956522,0.04562737642585546,-0.052727272727272734,-0.24425287356321834,0.013510072765146614
2023-03-31,VNM,74.4,146457991.3043478,-0.014569536423840956,-0.05913978494623662,-0.08816425120772942,0.012382113555703983
2023-04-28,HPG,21.65,6745477130.0,0.04086538461538458,-0.020785219399538035,0.15555555555555567,0.021832260581328908
2023-04-28,VIC,52.1,273526225.0,-0.052727272727272734,-0.0019193857965451588,0.02230483271375472,0.012504956841306146
2023-04-28,VNM,70.0,120892470.0,-0.05913978494623662,-0.05571428571428583,-0.02233902759526929,0.010414306301259234
2023-05-31,HPG,21.2,7773305730.0,-0.020785219399538035,0.23349056603773577,-0.020361990950226394,0.015515716987628811
2023-05-31,VIC,52.0,251971910.0,-0.0019193857965451588,-0.019230769230769273,-0.08756567425569173,0.014833059683980134
2023-05-31,VNM,66.1,236928540.0,-0.05571428571428583,0.07413010590015134,-0.0920881971465628,0.009543450031046723
2023-06-30,HPG,26.15,17755193790.909092,0.23349056603773577,0.07839388145315485,0.06000000000000005,0.015092228199684232
2023-06-30,VIC,51.0,213376895.45454547,-0.019230769230769273,0.08039215686274503,-0.011406844106463865,0.013292134985457294
2023-06-30,VNM,71.0,1475394168.1818182,0.07413010590015134,0.09859154929577474,-0.12450331125827818,0.011629922779696034
2023-07-31,HPG,28.2,11696524161.904762,0.07839388145315485,-0.02127659574468077,0.2572115384615383,0.01378351172541786
2023-07-31,VIC,55.1,411668357.14285713,0.08039215686274503,0.12704174228675136,-0.07272727272727275,0.01534517992620255
2023-07-31,VNM,78.0,1157530147.6190476,0.09859154929577474,-0.002564102564102555,-0.045698924731182866,0.010729149635469705
2023-08-31,HPG,27.6,17812657413.04348,-0.02127659574468077,-0.047101449275362306,0.30254041570438805,0.016974850687407724
2023-08-31,VIC,62.1,9257358143.47826,0.12704174228675136,-0.24557165861513686,0.05758157389635321,0.026821081058279694
2023-08-31,VNM,77.8,695271426.0869565,-0.002564102564102555,-0.046272493573264684,0.11428571428571432,0.013776667820833123
